round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up,variant
9,0.8895674347877502,24340,21780,0.7021842002868652,0.0688438415527343,5,42,ckks,10,0.5,0.2418283932261273,0.8833545088768006,0.1596288681030273,0.0,4868.0,ckks_clip_quant_comp
10,0.8641221523284912,24340,21780,0.7054147720336914,0.0610740184783935,5,42,ckks,10,0.5,0.2009443599299978,0.8909784078598022,0.1620880603790283,0.0,4868.0,ckks_clip_quant_comp
11,0.9139949083328248,24340,21780,0.7029662132263184,0.0590770244598388,5,42,ckks,10,0.5,0.1927711752973487,0.9108005166053772,0.1783130645751953,0.0002022266387939,4868.0,ckks_clip_quant_comp
12,0.9513995051383972,24340,21780,0.6681044101715088,0.0629992485046386,5,42,ckks,10,0.5,0.175300593977129,0.9540025472640992,0.1636019706726074,0.0003994464874267,4868.0,ckks_clip_quant_comp
13,0.9666666388511658,24340,21780,0.411250352859497,0.012995958328247,5,42,ckks,10,0.5,0.1523162815289091,0.968869125843048,0.0663976192474365,0.0,4868.0,ckks_clip_quant_comp
14,0.988804042339325,24340,21780,0.1444995403289795,0.0130007266998291,5,42,ckks,10,0.5,0.1558816757180942,0.9790343046188354,0.028999376296997,0.0,4868.0,ckks_clip_quant_comp
15,0.989313006401062,24340,21780,0.1475183963775634,0.0129997730255126,5,42,ckks,10,0.5,0.1346094877237816,0.9860228657722472,0.0287997722625732,0.000200080871582,4868.0,ckks_clip_quant_comp
16,0.9974554777145386,24340,21780,0.1535172462463379,0.0149974822998046,5,42,ckks,10,0.5,0.1206562504295397,0.9913595914840698,0.0283994674682617,0.0,4868.0,ckks_clip_quant_comp
17,0.9951654076576232,24340,21780,0.1730408668518066,0.0245170593261718,5,42,ckks,10,0.5,0.1096012351833274,0.9889453649520874,0.0264009952545166,0.0,4868.0,ckks_clip_quant_comp
18,0.998218834400177,24340,21780,0.2935562133789062,0.0255181789398193,5,42,ckks,10,0.5,0.1017604985384429,0.9930114269256592,0.0644164562225341,0.0,4868.0,ckks_clip_quant_comp
19,0.9984732866287231,24340,21780,0.2865190505981445,0.0200006961822509,5,42,ckks,10,0.5,0.0824020100318444,0.9949173927307128,0.0652000427246093,0.0,4868.0,ckks_clip_quant_comp
20,0.9987277388572692,24340,21780,0.1845176219940185,0.0129961967468261,5,42,ckks,10,0.5,0.0869432341023389,0.9919949293136596,0.0350015640258789,0.0,4868.0,ckks_clip_quant_comp
